city,neighbourhood_cleansed,population,housing_units,rent_median,rent_burden
hawaii,Ewa,131562.0,36938.0,2409.0615126903244,35.06204608447775
hawaii,Hamakua,6075.0,2114.0,1169.0009648723656,32.80094714256143
hawaii,Hana,938.0,371.0,3173.0,41.8
hawaii,Kapaa-Wailua,23787.0,7520.0,1713.073713838266,33.54456747324894
hawaii,Kau,8846.0,3336.0,748.15043325395,30.306040387598713
hawaii,Kihei-Makena,29547.0,10853.0,1886.0,36.1
hawaii,Koloa-Poipu,12778.0,4195.0,1436.5081389888871,29.466004069494442
hawaii,Koolauloa,16568.0,3768.0,1916.3737324963786,36.24437469821343
hawaii,Koolaupoko,119191.0,36027.0,2380.870445696923,36.0047165025582
hawaii,Lahaina,23474.0,7273.0,1809.9908721378736,32.90003437701548
hawaii,Lanai,3126.0,1183.0,1049.0,20.2
hawaii,Lihue,17421.0,4842.0,1531.003715777765,35.79987985569494
hawaii,Makawao-Pukalani-Kula,27874.0,9511.0,1695.7653894356347,33.579081363712525
hawaii,Molokai,6758.0,2242.0,927.544687777449,41.408458816717214
hawaii,North Hilo,1280.0,550.0,860.47421875,33.70696606144814
hawaii,North Kohala,4462.0,1649.0,1032.3926490363067,23.02743164500224
hawaii,North Kona,48706.0,17016.0,1458.671898023424,28.41830398579483
hawaii,North Shore Kauai,7493.0,2536.0,1560.2762578406512,29.074840513360595
hawaii,North Shore Oahu,57346.0,18625.0,2298.7737244097234,43.233836710494195
hawaii,Paia-Haiku,13792.0,4890.0,2076.691197795824,30.82357888631091
hawaii,Primary Urban Center,413856.0,153520.0,1786.094674257437,33.09081415739407
hawaii,Puna,47859.0,17923.0,1130.2448804313597,33.694870493868684
hawaii,South Hilo,53545.0,18381.0,1126.1569964318994,41.428335942143356
hawaii,South Kohala,21285.0,7503.0,1872.7899929527837,29.856391825229036
hawaii,South Kona,8414.0,2934.0,1604.9746671003297,36.691818423985424
hawaii,Waianae,52829.0,13426.0,1615.0,49.7
hawaii,Wailuku-Kahului,59110.0,17630.0,1454.739959397733,32.216139401116564
hawaii,Waimea-Kekaha,5423.0,1849.0,1703.305181633782,31.99756592292089
jersey-city,Ward A (councilmember Denise Ridley),71911.0,25335.0,1340.0,34.3
jersey-city,Ward B (councilmember Mira Prinz-Arey),55055.0,21827.0,1373.0080912747053,29.4001564604872
jersey-city,Ward C (councilmember Richard Boggiano),1.0,1.0,1595.7325644423388,33.70696606144814
jersey-city,Ward D (councilmember Michael Yun),43152.0,17010.0,1466.0030064090759,32.300032604886475
jersey-city,Ward E (councilmember James Solomon),66588.0,32813.0,2740.1064115541008,23.802365395657795
jersey-city,Ward F (councilmember Jermaine D. Robinson),50444.0,18673.0,1320.0,32.6
los-angeles,Acton,1.0,1.0,1595.7325644423388,33.70696606144814
los-angeles,Adams-Normandie,1.0,1.0,1595.7325644423388,33.70696606144814
los-angeles,Agoura Hills,1.0,1.0,1595.7325644423388,33.70696606144814
los-angeles,Agua Dulce,1.0,1.0,1595.7325644423388,33.70696606144814
los-angeles,Alhambra,83203.0,30086.0,1634.468948598702,32.505026595967045
los-angeles,Alondra Park,0.0,0.0,,
los-angeles,Altadena,36868.0,12331.0,1823.9938085213314,34.49997848991161
los-angeles,Angeles Crest,149847.0,41438.0,1455.886228837177,37.45224600403119
los-angeles,Arcadia,66190.0,22174.0,1814.3349972069632,34.11437096135554
los-angeles,Arleta,1.0,1.0,1595.7325644423388,33.70696606144814
los-angeles,Arlington Heights,1.0,1.0,1595.7325644423388,33.70696606144814
los-angeles,Artesia,16391.0,4418.0,1855.9841213205077,30.700183452264135
los-angeles,Athens,1.0,1.0,1595.7325644423388,33.70696606144814
los-angeles,Atwater Village,28839.0,11992.0,1887.0,28.2
los-angeles,Avalon,1.0,1.0,1595.7325644423388,33.70696606144814
los-angeles,Avocado Heights,29525.0,6981.0,1491.0,33.6
los-angeles,Azusa,1.0,1.0,1595.7325644423388,33.70696606144814
los-angeles,Baldwin Hills/Crenshaw,31046.0,14425.0,1377.0,44.0
los-angeles,Baldwin Park,73652.0,17857.0,1617.0,34.8
los-angeles,Bel-Air,7729.0,2899.0,2667.0,23.0
los-angeles,Bell,96606.0,23848.0,1368.002357333545,36.89996694787137
los-angeles,Bell Gardens,1.0,1.0,1595.7325644423388,33.70696606144814
